str,nutri_scores
"Margarine-like, margarine-butter blend, soybean oil and butter",a
"Shortening, special purpose for cakes and frostings, soybean ",a
"Shortening, special purpose for baking, soybean  palm and cottonseed",a
"Oil, oat",a
"Fish oil, cod liver",a
"Fish oil, herring",a
"Fish oil, menhaden",a
"Fish oil, menhaden, fully hydrogenated",b
"Fish oil, salmon",b
"Fish oil, sardine",a
"Shortening, multipurpose, soybean  and palm ",a
"Margarine-like, vegetable oil-butter spread, tub",a
"Butter, light, stick",a
"Animal fat, bacon grease",b
"Margarine, regular, 80% fat",a
"Margarine-like, vegetable oil spread, 60% fat",a
"Shortening, vegetable, household",b
"Margarine-like, vegetable oil spread, fat free",b
"Margarine-like spread with yogurt, 70% fat, stick",a
"Margarine-like spread with yogurt, approximately 40% fat, tub",a
"Margarine, 80% fat, stick",b
"Margarine, margarine-type vegetable oil spread, 70% fat",a
"Margarine Spread, 40-49% fat, tub",b
"Margarine-like, vegetable oil spread, fat-free",b
"Margarine-like, vegetable oil spread, 20% fat",b
"Salad dressing, thousand island dressing, fat-free",a
"Salad dressing, italian dressing, fat-free",a
"Salad dressing, ranch dressing, fat-free",a
"Salad dressing, ranch dressing, regular",a
"Salad dressing, ranch dressing, reduced fat",a
"Salad dressing, mayonnaise, light",a
lite mayonnaise,a
"Oil, industrial, mid-oleic",a
NuSun,b
"Oil, industrial, canola with antifoaming agent",b
"Oil, industrial, canola for salads",a
"Oil, industrial, canola  oil for deep fat frying",a
"Oil, industrial, coconut",b
"Oil, industrial, soy ",b
"Shortening, industrial, soy ",b
"Oil, industrial, soy",b
"Oil, industrial, soy  and soy ",b
"Oil, industrial, soy   and cottonseed",b
"Margarine-like shortening, industrial, soy ",b
"Oil, industrial, palm kernel",b
"Oil, industrial, palm kernel ",b
"Oil, industrial, palm kernel  ",b
"Oil, industrial, coconut ",b
"Oil, industrial, palm and palm kernel",a
"Margarine, industrial, non-dairy",a
"Shortening, industrial, soy  and corn for frying",a
"Shortening, industrial, soy  for baking and confections",b
"Margarine, industrial, soy and partially hydrogenated soy oil",b
"Oil, vegetable, soybean",b
"Margarine-like spread, SMART BALANCE Regular Buttery Spread with flax oil",b
"Margarine-like spread, SMART BALANCE Light Buttery Spread",b
"Margarine-like spread, SMART BEAT Super Light without saturated fat",a
"Margarine-like spread, SMART BEAT Smart Squeeze",a
"Margarine-like spread, SMART BALANCE Omega Plus Spread ",b
"Oil, vegetable, Natreon canola",b
trans free high stability low saturated fat non-hydrogenated canola oil,a
"Oil, PAM cooking spray, original",b
"Margarine, margarine-like vegetable oil spread, 67-70% fat",b
"Margarine, 80% fat, tub",b
"Oil, cooking and salad, ENOVA",b
"Salad dressing, honey mustard dressing, reduced calorie",b
"Margarine-like spread, BENECOL Light Spread",b
"Salad dressing, spray-style dressing, assorted flavors",b
"Salad Dressing, mayonnaise, light",b
"Margarine-like, vegetable oil spread, approximately 37% fat",b
"Margarine-like vegetable-oil spread, stick/tub/bottle, 60% fat",b
"Oil, industrial, canola",b
"Oil, industrial, cottonseed",b
"Salad dressing, honey mustard, regular",b
"Salad dressing, poppyseed, creamy",b
"Salad dressing, caesar, fat-free",b
"Dressing, honey mustard, fat-free",b
"Oil, flaxseed, contains added sliced flaxseed",b
"Mayonnaise, reduced fat, with olive oil",a
"Salad dressing, mayonnaise-type, light",a
"Chicken, broiler, rotisserie",a
"Chicken, broilers or fryers, meat and skin and giblets and neck",a
"Chicken, broilers or fryers, meat and skin",b
"Chicken, broilers or fryers, meat only",b
"Chicken, broilers or fryers, skin only",a
"Chicken, broilers or fryers, giblets",a
"Chicken, gizzard, all classes",b
"Chicken, heart, all classes",b
"Chicken, liver, all classes",a
"Chicken, broilers or fryers, light meat",b
"Chicken, broilers or fryers, dark meat",a
"Chicken, broilers or fryers, separable fat",a
"Chicken, broilers or fryers, back",a
"Chicken, broilers or fryers, breast",a
"Chicken, broiler or fryers, breast",b
"Chicken, broilers or fryers, drumstick",a
"Chicken, broilers or fryers, leg",c
"Chicken, broilers or fryers, neck",c
"Chicken, broilers or fryers, thigh",c
"Chicken, broilers or fryers, wing",a
"Chicken, roasting, meat and skin and giblets and neck",b
"Canada Goose, breast meat only, skinless",c
Canadian geese,c
"Chicken, roasting, meat and skin",a
"Chicken, roasting, meat only",c
"Chicken, roasting, giblets",c
"Chicken, roasting, light meat",b
"Chicken, roasting, dark meat",b
"Chicken, stewing, meat and skin",b
"Chicken, stewing, meat only",b
"Chicken, stewing, giblets",c
"Chicken, stewing, light meat",b
"Chicken, stewing, dark meat",b
"Chicken, capons, meat and skin and giblets and neck",b
"Chicken, capons, meat and skin",b
"Chicken, capons, giblets",b
"Duck, domesticated, meat and skin",c
"Duck, domesticated, meat only",b
"Duck, domesticated, liver",b
"Duck, wild, meat and skin",b
"Duck, wild, breast",c
"Goose, domesticated, meat and skin",b
"Goose, domesticated, meat only",b
"Goose, liver, raw",b
"Guinea hen, meat and skin, raw",b
"Guinea hen, meat only, raw",b
"Pheasant, raw, meat and skin",a
"Pheasant, raw, meat only",b
"Pheasant, breast, meat only",b
"Pheasant, leg, meat only",b
"Quail, meat and skin, raw",a
"Quail, meat only, raw",a
"Quail, breast, meat only",a
"Squab, meat and skin",a
"Squab, meat only",a
"Squab, light meat without skin",a
"Turkey, whole, meat and skin",b
"Turkey, whole, meat only",a
"Turkey, whole, skin ",a
"Turkey, whole, giblets",a
"Turkey, gizzard, all classes",b
"Turkey, all classes, gizzard",d
"Turkey, all classes, heart",a
"Turkey, all classes, liver",b
"Turkey, whole, neck",b
"Turkey, whole, light meat",a
"Turkey, dark meat, meat and skin",b
"Turkey, whole, dark meat",b
"Turkey, all classes, light meat",a
"Turkey, all classes, back",b
"Turkey, all classes, breast",a
"Turkey, all classes, leg",b
"Turkey, all classes, wing",a
"Turkey, fryer-roasters, meat and skin",a
"Turkey, whole, back",a
"Turkey, whole, breast",b
"Turkey, whole, wing",b
"Turkey, young hen, skin only",c
"Chicken, canned, meat only",e
"Pate de foie gras, canned , smoked",b
"Turkey, canned, meat only",e
"Turkey, diced, light and dark meat",b
"Turkey and gravy, frozen",e
"Turkey breast, pre-basted, meat and skin",e
"Turkey thigh, pre-basted, meat and skin",c
"Turkey roast, boneless, frozen",b
"Turkey sticks, breaded, battered",e
"Poultry, mechanically deboned, from backs and necks with skin",b
"Poultry, mechanically deboned, from backs and necks without skin",c
"Poultry, mechanically deboned, from mature hens",e
"Turkey, mechanically deboned, from turkey frames",c
"Turkey, Ground, raw",e
"Turkey, Ground, cooked",c
"Chicken, cornish game hens, meat and skin",e
"Chicken, cornish game hens, meat only",b
"Chicken, canned, no broth",b
"Chicken, wing, frozen",c
"Duck, young duckling, domesticated",b
"Chicken patty, frozen, uncooked",e
"Chicken patty, frozen, cooked",e
"Chicken breast tenders, breaded, cooked",c
"Chicken breast tenders, breaded, uncooked",b
"Chicken, ground, raw",e
"Chicken, ground, crumbles",e
"Chicken, feet, boiled",b
"Chicken, broilers or fryers, rotisserie",b
"Chicken, broilers or fryers,  rotisserie",b
"Ruffed Grouse, breast meat, skinless",c
Ruffed grouse,e
"Emu, ground, raw",c
"Emu, ground, cooked",b
"Emu, fan fillet, raw",b
"Emu, fan fillet, cooked",e
"Emu, flat fillet, raw",b
"Emu, full rump, raw",c
"Emu, full rump, cooked",e
"Emu, inside drum, raw",e
"Emu, inside drums, cooked",c
"Emu, outside drum, raw",b
"Emu, oyster, raw",c
"Emu, top loin, cooked",b
"Ostrich, ground, raw",e
"Ostrich, ground, cooked",b
"Ostrich, fan, raw",c
"Ostrich, inside leg, raw",e
"Ostrich, inside leg, cooked",b
"Ostrich, inside strip, raw",e
"Ostrich, inside strip, cooked",b
"Ostrich, outside leg, raw",e
"Ostrich, outside strip, raw",b
"Ostrich, outside strip, cooked",b
"Ostrich, oyster, raw",c
"Ostrich, oyster, cooked",e
"Ostrich, round, raw",b
"Ostrich, tenderloin, raw",c
"Ostrich, tip trimmed, raw",e
"Ostrich, tip trimmed, cooked",e
"Ostrich, top loin, raw",b
"Ostrich, top loin, cooked",a
"Turkey, ground, fat free",b
"Turkey, ground, 93% lean",b
"Turkey, ground, 85% lean",c
"Chicken, skin , cooked",e
"Chicken, skin , raw",b
"Chicken, dark meat, drumstick",c
"Chicken, dark meat, thigh",e
"Chicken, skin , with added solution",b
"Turkey, dark meat from whole, meat only",e
"Turkey, dark meat, meat only",b
"Turkey from whole, light meat, meat only",e
"Turkey, skin from whole , with added solution",c
"Turkey, skin from whole, ",c
"Turkey, dark meat from whole, meat and skin",e
"Turkey from whole, light meat, meat and skin",b
"Turkey, retail parts, breast",e
"Turkey, retail parts, wing",c
"Turkey, skin, from retail parts",c
"Turkey, retail parts, drumstick",b
"Turkey, retail parts, thigh",e
"Turkey, breast, from whole bird",b
"Turkey, back, from whole bird",b
"Turkey, drumstick, from whole bird",e
"Turkey, thigh, from whole bird",b
"Turkey, wing, from whole bird",b
"Soup, cream of asparagus, canned",b
"Soup, black bean, canned",b
"Soup, bean with pork, canned",c
"Soup, bean with frankfurters, canned",c
"Soup, bean with ham, canned",c
"Soup, beef broth or bouillon canned, ready-to-serve",e
"Soup, beef noodle, canned",b
"Soup, cream of celery, canned",e
"Soup, cheese, canned",b
"Soup, chicken broth, canned",b
"Soup, chicken, canned",b
"Soup, cream of chicken, canned",b
"Soup, chicken gumbo, canned",b
"Soup, chunky chicken noodle, canned",b
"Soup, chicken noodle, canned",b
"Soup, chicken rice, canned",b
"Soup, chicken with rice, canned",b
"Soup, chicken and vegetable, canned",b
"Soup, chicken vegetable, canned",b
"Soup, chili beef, canned",b
"Soup, clam chowder, manhattan style",c
"Soup, clam chowder, manhattan",c
"Soup, clam chowder, new england",c
"Soup, beef broth bouillon and consomme, canned",b
"Soup, lentil with ham, canned",c
"Soup, minestrone, canned",c
"Soup, mushroom barley, canned",e
"Soup, cream of mushroom, canned",e
"Soup, mushroom with beef stock, canned",e
"Soup, onion, canned",d
"Soup, cream of onion, canned",c
"Soup, oyster stew, canned",c
"Soup, pea, green",e
"Soup, pea, split with ham",e
"Soup, cream of potato, canned",e
"Soup, cream of shrimp, canned",d
"Soup, tomato beef with noodle, canned",d
"CAMPBELL'S, Chicken Noodle Soup, condensed",d
"Soup, tomato rice, canned",d
"Soup, turkey, chunky",d
"Soup, chunky vegetable, canned",e
"Soup, vegetarian vegetable, canned",e
"Soup, chunky beef, canned",d
"Soup, vegetable beef, canned",c
"Soup, vegetable with beef broth, canned",d
"Soup, beef broth or bouillon, powder",e
"Soup, beef broth, cubed",e
"Soup, chicken broth or bouillon, dry",e
"Soup, chicken broth cubes, dry",e
"Soup, onion, dry",e
"Soup, cream of vegetable, dry",e
"Sauce, teriyaki, ready-to-serve",e
"Gravy, au jus, canned",e
"Gravy, au jus, dry",e
"Gravy, beef, canned",e
"Gravy, brown, dry",e
"Gravy, chicken, canned or bottled",e
"Gravy, chicken, dry",e
"Gravy, mushroom, canned",d
"Gravy, mushroom, dry",e
"Gravy, onion, dry",d
"Gravy, pork, dry",e
"Gravy, turkey, canned",d
"Gravy, turkey, dry",d
"Gravy, unspecified type, dry",c
"Soup, chicken noodle, dry",c
"Sauce, sofrito, prepared from recipe",b
"Soup, beef mushroom, canned",d
"Soup, chicken mushroom, canned",e
"Sauce, barbecue",d
"Sauce, plum, ready-to-serve",e
"Sauce, pizza, canned",e
"Soup, tomato bisque, canned",e
"Soup, tomato, canned",d
"Sauce, salsa, ready-to-serve",d
"Sauce, homemade, white",e
"Sauce, ready-to-serve, pepper or hot",e
"Sauce, ready-to-serve, pepper",e
"Soup, stock, beef",e
"Soup, stock, chicken",e
"Soup, stock, fish",e
"Sauce, hoisin, ready-to-serve",e
"Sauce, oyster, ready-to-serve",e
"Sauce, fish, ready-to-serve",d
"Soup, shark fin, restaurant-prepared",d
"Soup, chicken broth, less/reduced sodium",e
"Soup, beef broth, less/reduced sodium",d
"Soup, bean & ham, canned",e
"Split pea soup, canned, reduced sodium",e
"Split pea with ham soup, canned, reduced sodium",e
"Soup, chicken broth, ready-to-serve",e
"Soup, chicken vegetable with potato and cheese, chunky",e
"Soup, vegetable, canned",e
"Sauce, white, thin",e
NFSMI Recipe No. G-08,e
"Sauce, sweet and sour, prepared-from-recipe",e
NFSMI Recipe No. G-05,e
"Sauce, barbecue, KRAFT",e
"Soup, HEALTHY CHOICE Chicken Noodle Soup, canned",e
"Soup, HEALTHY CHOICE Chicken and Rice Soup, canned",e
"Soup, HEALTHY CHOICE Garden Vegetable Soup, canned",e
"CAMPBELL'S, Cream of Mushroom Soup, condensed",e
"CAMPBELL'S, Tomato Soup, condensed",e
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",e
"CAMPBELL'S CHUNKY, Hearty Beef Barley Soup",e
"CAMPBELL'S CHUNKY, New England Clam Chowder",e
"Soup, beef broth, bouillon",e
"CAMPBELL'S CHUNKY, Old Fashioned Vegetable Beef Soup",e
"Soup, turkey noodle, canned",e
"Soup, turkey vegetable, canned",e
"Soup, cream of chicken, dry",e
"Soup, tomato, dry",d
"Soup, ramen noodle, any flavor",e
"Soup, broccoli cheese, canned",e
"Soup, SWANSON, beef broth",e
"Soup, SWANSON, vegetable broth",e
"Sauce, peanut, made from coconut",e
"SMART SOUP, Santa Fe Corn Chowder",e
"SMART SOUP, French Lentil",e
"SMART SOUP, Greek Minestrone",e
"SMART SOUP, Indian Bean Masala",e
"SMART SOUP, Moroccan Chick Pea",e
"SMART SOUP, Thai Coconut Curry",e
"SMART SOUP, Vietnamese Carrot Lemongrass",e
"Sauce, pesto, ready-to-serve",e
"Sauce, pesto, BUITONI",e
"Sauce, pesto, CLASSICO",d
"Sauce, pesto, MEZZETTA",d
"Sauce, hot chile, sriracha",e
"Soup, vegetable broth, ready to serve",e
"Sauce, cheese sauce mix, dry",e
"Soup, chicken corn chowder, chunky",e
"Soup, bean with bacon, condensed",e
"Soup, vegetable beef, microwavable",e
"Soup, beef and vegetables, canned",e
"Sauce, cheese, ready-to-serve",e
"Sauce, pasta, spaghetti/marinara",d
"Gravy, brown instant, dry",d
"Gravy, instant beef, dry",d
"Gravy, instant turkey, dry",c
"Sauce, alfredo mix, dry",e
"Sauce, peppers, hot",d
"Sauce, chili, peppers",e
Fish broth,e
"Soup, tomato, low sodium",e
"Soup, pea, low sodium",c
"Soup, chicken noodle, low sodium",d
"Soup, vegetable soup, condensed",c
"Soup, cream of mushroom, low sodium",c
"Potato soup, instant, dry mix",d
"Soup, chicken broth, low sodium",d
"Sauce, worcestershire",e
"Sauce, tomato chili sauce, bottled",d
"Soup, vegetable chicken, canned",d
"Gravy, meat or poultry, low sodium",e
"Soup, beef and mushroom, low sodium",d
"Soup, beef stroganoff, canned",d
"Soup, bouillon cubes and granules, low sodium",e
"Soup, ramen noodle, beef flavor",e
"Soup, ramen noodle, chicken flavor",e
"Gravy, HEINZ Home Style, savory beef",e
"Gravy, CAMPBELL'S, chicken",e
"Barbecue loaf, pork, beef",e
"Beerwurst, beer salami, pork and beef",e
"Beerwurst, beer salami, pork",e
"Sausage, Berliner, pork",e
Blood sausage,e
"Bockwurst, pork, veal",e
"Bologna, beef",e
"Bologna, beef and pork",e
"Bologna, pork",e
"Bologna, turkey",e
"Bratwurst, pork, cooked",e
"Braunschweiger , pork",e
"Bratwurst, pork, beef",e
"Cheesefurter, cheese smokie, pork",e
Chicken spread,e
"Sausage, pork, chorizo",e
"Corned beef loaf, jellied",e
"Dutch brand loaf, chicken, pork and beef",e
"Frankfurter, beef, unheated",e
hot dog,d
frank,e
wiener,e
"Frankfurter, chicken",d
hot dog,c
wiener,e
frank,d
"Frankfurter, turkey",d
hot dog,e
wiener,e
frank,d
"Ham, chopped, canned",d
"Ham, chopped, not canned",d
"Ham, sliced, pre-packaged",d
"Ham, sliced, regular ",d
"Ham, minced",d
Ham salad spread,e
Ham and cheese loaf or roll,e
Ham and cheese spread,e
"Headcheese, pork",e
"Sausage, Italian, pork",e
"Knackwurst, knockwurst, pork",d
"Lebanon bologna, beef",d
"Liver cheese, pork",d
"Liver sausage, liverwurst, pork",e
"Roast beef, deli style, prepackaged",e
"Luncheon meat, pork, canned",e
"Turkey breast, low salt, prepackaged or deli",e
"Mortadella, beef, pork",d
"Olive loaf, pork",e
"Pastrami, turkey",d
"Pate, chicken liver, canned",d
"Pate, goose liver, smoked",e
"Pate, liver, not specified",d
"Peppered loaf, pork, beef",a
"Pepperoni, beef and pork, sliced",b
"Pickle and pimiento loaf, pork",c
"Polish sausage, pork",b
"Luxury loaf, pork",b
